id,name,image,brewery,description,type
1,Guinness Baltimore Blonde,https://products2.imgix.drizly.com/ci-guinness-blonde-american-lager-22a826f187797a21.jpeg?auto=format%2Ccompress&fm=jpg&q=20,Guinness Open Gate Brewery,"Crisp, Fresh, Grainy, Grassy ABV 5%",American Style Lager
2,New Belguim Fat Tire Ale ,https://products1.imgix.drizly.com/ci-new-belgium-fat-tire-b4e1817093500c47.jpeg?auto=format%2Ccompress&fm=jpg&q=20,New Belgium Brewing Company,"Balanced, Biscuit, Malty, Smooth ABV 5.2%",Amber / Red Ale
3,Lagunitas IPA,https://products3.imgix.drizly.com/ci-lagunitas-ipa-ea3c01b7b5a23bd8.png?auto=format%2Ccompress&fm=jpg&q=20,Lagunitas Brewing Company ,"Hoppy, Bitter, Floral, Citrus ABV 6.2%
",IPA
4,Victory Golden Monkey,https://products2.imgix.drizly.com/ci-victory-golden-monkey-2b2a18f9fb3bae19.png?auto=format%2Ccompress&fm=jpg&q=20,Victory brewing Company,"Fruity, Spicy, Yeasty, Floral ABV 9.5%",Tripel
5,Kona Big Wave Golden Ale,https://products1.imgix.drizly.com/ci-kona-big-wave-golden-ale-c835921c52b5e732.jpeg?auto=format%2Ccompress&fm=jpg&q=20,Kona Beer Company,"Honey, Malty, Sweet  ABV 4.4%",Golden/ Blonde Ale
6,Stone IPA,https://products1.imgix.drizly.com/ci-stone-ipa-4f94fc4e6ce01683.jpeg?auto=format%2Ccompress&fm=jpg&q=20,Stone Brewing & Compnay,"Hoppy, Malty, Bright, Citrus ABV 6.9%",IPA
7,Left Hand Milk Stout Nitro,https://products2.imgix.drizly.com/ci-left-hand-milk-stout-nitro-797334bb857b95e0.png?auto=format%2Ccompress&fm=jpg&q=20,Eperience America Brews,"Balanced, Creamy, Chocolate, Smooth ABV 6%",Milk Stout
8,North Coast Old Rasputin Russian Imperial Stout,https://products0.imgix.drizly.com/ci-north-coast-old-rasputin-russian-imperial-stout-b937a7f3444b3e90.jpeg?auto=format%2Ccompress&fm=jpg&q=20,North Coast Brewing Company,"Rich, Roasted, Coffee, Chocolate ABV 9%
",Imperial Stout
9,Flying Dog Raging Bitch,https://products1.imgix.drizly.com/ci-flying-dog-raging-bitch-045e6ec3b8b40d75.jpeg?auto=format%2Ccompress&fm=jpg&q=20,Flyin Dog Productions,"Bready, Pine, Floral ABV 8.3%
",IPA
10,"ACE Pineapple Cider
",https://products3.imgix.drizly.com/ci-ace-pineapple-cider-864bfd3accc1d84f.jpeg?auto=format%2Ccompress&fm=jpg&q=20,Ace Cider,"Sweet, Apple, Tropical Fruit ABV 5%",Cider
